"bs","pz_amor","vl_recuperacao","EAD","lgd","COD_OR_REC","COD_tp_garantia","tempo_sobrev1","tempo_sobrev2"
7,120,13114.62,23982.12,0,1,2,68,19
6,180,15429.03,22500.61,0.3142839239,1,2,85,18
24.98,126,76476.87,43598.19,1,2,2,54,28
24.98,180,33620.61,43622.27,0,1,2,62,14
24.98,180,47699.2,60862.86,0,1,2,61,21
24.98,180,53171.99,48843.34,0,1,2,65,6
24.98,180,14185.93,20991.37,0.5309313565,1,2,48,27
94,204,42117.35,46682.05,0,4,3,32,22
57,180,0,39648.74,0.5873743257,1,2,66,35
24.98,60,53584.39,34740.64,1,1,2,30,28
24.98,180,8831.18,8388.2,0,1,2,89,3
54,180,15554.25,17038.24,0.087097611,1,2,80,1
4,180,51785.17,49560.56,0,1,2,41,5
7,180,0,71479.89,0.7135601336,1,2,59,28
24.98,205,81374.8,106381.98,0.666251192,1,2,47,41
24.98,180,38668,36130,0,1,2,41,4
24.98,60,28347.93,18475.78,0,1,2,45,15
94,180,0,43876.1,0.5446475702,1,2,63,34
61,180,30094.95,42644.41,0,1,2,71,19
0,180,0,13526.8,0.6412340699,1,2,52,36
24.98,204,21152.93,34012.04,0.7280098628,4,3,53,28
24.98,180,37581.07,53555.23,0.807512577,1,2,33,28
89,96,2236.7,2137.82,0,1,2,94,1
24.98,120,70672.74,63605.95,0,1,2,33,7
24.98,72,0,10164.55,0.0229669117,1,2,43,1
24.98,240,53771.9,49636.7,0,1,2,52,21
24.98,180,61390.11,67053.1,0,1,2,39,20
24.98,240,14630.89,14368.86,0,1,2,63,1
0,144,28639.07,27442.26,0,1,2,80,5
0,144,17010.71,16731.15,0,2,2,92,4
24.98,180,11070.86,10661.29,0,1,2,75,2
